epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,70.2828,1.09898,2.03065,1.16051,1.22361,0.7259,0.5132,0.58289,0.33034,0.63442,0.49853,0.51389,0.22523,1.36436,4.7564,1.74726,1.42119,0.00192264,0.00192264,0.00192264
40,72.0022,1.08178,2.06583,1.10434,1.17764,0.70215,0.50467,0.5562,0.31655,0.5931,0.43109,0.44002,0.18084,1.41957,5.70246,1.76669,1.48854,0.00191858,0.00191858,0.00191858
41,73.7702,1.11487,2.13884,1.13024,1.21146,0.75721,0.65689,0.74793,0.475,0.70215,0.56891,0.58621,0.26826,1.21421,4.7594,1.21776,1.32149,0.00191441,0.00191441,0.00191441
42,75.5473,1.09821,2.12862,1.16212,1.21899,0.71156,0.75367,0.76016,0.47862,0.70137,0.71261,0.69004,0.34469,1.18154,4.07108,1.38281,1.28737,0.00191014,0.00191014,0.00191014
43,77.3341,1.02751,1.92128,1.13367,1.18664,0.66417,0.70178,0.71027,0.4315,0.62258,0.65689,0.62815,0.30184,1.2414,3.73754,1.42831,1.322,0.00190578,0.00190578,0.00190578
44,79.0582,1.12258,2.1217,1.11377,1.22505,0.74852,0.64591,0.72638,0.43501,0.66074,0.58828,0.60906,0.30758,1.22703,3.45893,1.36129,1.33014,0.00190132,0.00190132,0.00190132
45,80.7634,1.01709,1.9236,1.06242,1.19279,0.80619,0.68035,0.76756,0.48242,0.75513,0.63343,0.7008,0.35894,1.15116,3.04196,1.25849,1.24099,0.00189675,0.00189675,0.00189675
46,82.566,1.06969,2.05062,1.08988,1.20058,0.74116,0.72216,0.75468,0.44551,0.70684,0.69293,0.69926,0.35175,1.29535,2.90795,1.27615,1.29461,0.0018921,0.0018921,0.0018921
47,84.2902,1.02242,1.85416,0.98098,1.14587,0.83058,0.66133,0.78775,0.46626,0.8003,0.63343,0.73553,0.35013,1.32724,3.06751,1.22611,1.29952,0.00188734,0.00188734,0.00188734
48,86.0652,1.1036,1.94048,1.00163,1.17942,0.81992,0.61419,0.74146,0.46765,0.74689,0.60997,0.68377,0.34178,1.30706,3.11403,1.26995,1.29851,0.00188249,0.00188249,0.00188249
49,87.7424,0.9812,1.81118,0.98793,1.16118,0.79798,0.59076,0.70955,0.42442,0.71635,0.57478,0.64485,0.32731,1.35754,3.18347,1.39362,1.31869,0.00187754,0.00187754,0.00187754
